"","age","failures","famrel","freetime","goout","Dalc","Walc","health","absences","G3","school_MS","sex_M","address_R","famsize_LE3","Pstatus_A","Medu_College","Fedu_College","Mjob_at_home","Fjob_at_home","reason_home","reason_other","reason_reputation","guardian_father","guardian_other","schoolsup_yes","famsup_no","paid_yes","activities_yes","nursery_no","higher_no","internet_no","romantic_yes","traveltime_TravelGT30Mins","studytime_StudyGT5Hrs"
"1",18,0,4,3,4,1,1,3,4,11,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"2",17,0,5,3,3,1,1,3,2,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"3",15,0,4,3,2,2,3,3,6,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"4",15,0,3,2,2,1,1,5,0,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"5",16,0,4,3,2,1,2,5,0,13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"6",16,0,5,4,2,1,2,5,6,13,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"7",16,0,4,4,4,1,1,3,0,13,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8",17,0,4,1,4,1,1,1,2,13,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"9",15,0,4,2,2,1,1,1,0,17,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",15,0,5,5,1,1,1,5,0,13,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11",15,0,3,3,3,1,2,2,2,14,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"12",15,0,5,2,2,1,1,4,0,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
"13",15,0,4,3,3,1,3,5,0,12,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"14",15,0,5,4,3,1,2,3,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,0,4,5,2,1,1,3,0,15,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"16",16,0,4,4,4,1,2,2,6,17,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",16,0,3,2,3,1,2,2,10,14,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"18",16,0,5,3,2,1,1,4,2,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
"19",17,3,5,5,5,2,4,5,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"20",16,0,3,1,3,1,3,5,6,12,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"21",15,0,4,4,1,1,1,1,0,14,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"22",15,0,5,4,2,1,1,5,0,12,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"23",16,0,4,5,1,1,3,5,0,14,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"24",16,0,5,4,4,2,4,5,2,10,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"25",15,0,4,3,2,1,1,5,2,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"26",16,0,1,2,2,1,3,5,6,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"27",15,0,4,2,2,1,2,5,8,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",15,0,2,2,4,2,4,1,0,11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"29",16,0,5,3,3,1,1,5,2,13,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"30",16,0,4,4,5,5,5,5,4,12,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"31",15,0,5,4,2,3,4,5,0,11,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"32",15,0,4,3,1,1,1,5,2,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"33",15,0,4,5,2,1,1,5,0,15,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"34",15,0,5,3,2,1,1,2,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"35",16,0,5,4,3,1,1,5,4,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"36",15,0,3,5,1,1,1,5,4,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"37",15,0,5,4,3,1,1,4,0,14,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"38",16,0,2,4,3,1,1,5,4,13,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
"39",15,0,4,3,2,1,1,5,2,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"40",15,0,4,3,1,1,1,2,8,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"41",16,0,3,3,3,1,2,3,16,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"42",15,0,5,4,3,2,4,5,8,11,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"43",15,0,4,3,3,1,1,5,0,15,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"44",15,0,5,4,1,1,1,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"45",16,1,4,3,3,2,2,5,14,11,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
"46",15,0,5,2,2,1,1,5,4,11,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
"47",16,0,2,3,5,1,4,3,6,13,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",16,0,4,2,2,1,1,2,2,17,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"49",15,0,4,3,3,2,2,5,4,13,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"50",15,0,4,4,4,1,1,3,2,12,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
"51",16,0,4,3,3,2,3,4,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"52",15,0,4,3,3,1,1,5,0,16,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",15,0,5,5,5,3,4,5,4,9,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
"54",15,0,3,3,4,2,3,5,0,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"55",15,0,5,3,4,4,4,1,0,13,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"56",16,0,5,3,4,1,1,2,2,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"57",15,0,4,3,2,1,1,1,0,15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"58",15,0,3,2,2,1,1,5,8,16,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"59",15,0,4,3,2,1,1,5,0,14,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"60",16,0,4,2,3,1,1,5,2,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"61",16,0,2,4,4,2,3,4,0,16,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"62",16,0,5,5,5,5,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
"63",16,0,4,4,3,1,1,1,0,10,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
"64",16,0,3,4,4,2,4,4,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"65",15,0,4,4,4,2,4,2,0,12,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0
"66",16,0,5,4,3,1,2,1,2,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"67",15,0,1,3,3,5,5,3,0,12,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
"68",16,0,4,3,3,1,2,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"69",15,0,4,1,3,1,3,4,0,11,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"70",15,0,4,4,2,2,3,3,6,15,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
"71",16,0,4,3,2,1,1,5,2,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"72",15,0,3,3,3,1,1,3,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"73",15,0,3,3,4,2,4,5,2,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"74",16,0,5,3,2,2,2,5,0,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"75",16,0,4,3,3,2,4,5,4,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"76",15,0,4,3,3,2,3,5,0,11,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"77",15,0,3,4,3,1,1,1,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"78",16,0,5,2,3,1,3,3,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
"79",17,3,4,5,1,1,1,3,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"80",16,0,2,4,3,1,2,3,14,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",15,0,3,2,2,1,3,3,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
"82",15,0,5,3,2,1,2,5,2,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"83",15,0,4,4,4,1,1,5,4,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"84",15,0,5,3,3,1,3,4,2,13,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"85",15,0,4,3,2,2,3,4,2,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"86",15,0,4,4,4,2,3,5,4,12,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
"87",16,0,4,3,4,1,2,2,6,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"88",15,0,5,3,3,1,3,1,4,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"89",16,0,4,4,2,1,1,3,6,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
"90",16,0,4,1,3,3,5,5,6,10,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"91",16,0,4,3,3,1,3,4,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"92",15,0,4,5,5,1,3,1,6,13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"93",16,0,3,3,3,2,3,2,0,12,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"94",16,0,5,3,3,1,1,1,2,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"95",15,0,4,3,4,1,1,4,2,12,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"96",15,0,3,1,2,1,1,1,4,13,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
"97",16,0,3,3,3,1,1,4,6,11,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
"98",16,0,4,3,5,1,1,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"99",16,0,5,3,4,1,2,1,4,13,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"100",16,0,5,3,5,1,1,3,2,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"101",16,0,4,5,5,5,5,4,12,8,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"102",16,0,4,4,3,1,1,4,0,16,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
"103",15,0,5,3,3,1,1,5,2,12,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"104",15,0,4,3,5,1,1,2,16,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"105",15,0,5,4,4,1,1,1,0,16,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"106",15,0,4,3,3,1,1,4,10,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1
"107",15,0,5,1,2,1,1,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"108",16,0,5,3,3,1,1,5,4,14,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"109",15,0,1,3,5,3,5,1,8,11,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1
"110",16,0,5,4,5,1,1,4,2,14,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"111",15,0,5,5,3,1,1,4,4,14,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"112",16,0,4,1,2,1,1,2,4,11,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
"113",16,1,3,1,2,1,1,5,12,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"114",15,0,3,5,2,1,1,3,10,18,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"115",15,0,5,4,2,1,1,5,4,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
"116",16,0,5,4,4,1,2,5,6,14,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"117",15,0,4,4,3,1,1,2,4,16,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
"118",16,0,5,4,2,1,1,5,6,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"119",17,1,5,2,4,1,4,5,14,11,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"120",15,0,3,4,3,1,2,4,2,14,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"121",15,0,3,2,3,1,2,1,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"122",15,0,5,5,4,1,2,5,6,13,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"123",16,0,4,2,2,1,2,5,2,13,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"124",16,0,3,4,4,1,4,5,4,13,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"125",16,0,5,4,4,1,1,5,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"126",15,0,5,5,5,3,2,5,2,9,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"127",15,0,5,3,2,1,1,1,0,11,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
"128",19,2,3,4,2,1,1,5,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
"129",16,0,3,5,5,2,5,4,8,15,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"130",16,0,3,2,3,2,2,1,4,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"131",15,0,4,2,2,2,2,5,0,12,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"132",18,3,5,4,5,1,3,5,10,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
"133",17,0,3,2,2,1,2,5,8,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"134",15,0,4,3,3,1,2,4,6,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
"135",17,0,3,4,4,1,3,5,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"136",16,0,3,2,1,1,4,5,12,14,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"137",16,0,3,2,1,1,1,2,4,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"138",16,1,5,3,4,1,1,5,12,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"139",15,0,5,3,3,1,1,5,2,11,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"140",15,0,4,3,3,1,1,5,4,15,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"141",17,0,5,4,5,2,4,5,2,10,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"142",16,0,5,1,3,1,1,3,0,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"143",18,0,3,3,4,4,5,4,2,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"144",18,0,4,3,3,5,1,5,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1
"145",16,0,3,3,3,1,2,1,8,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
"146",16,0,4,3,2,1,1,5,4,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
"147",16,2,4,4,4,1,3,5,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"148",15,0,4,3,2,1,1,5,6,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"149",15,1,5,5,5,1,1,1,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
"150",15,0,2,2,2,1,1,3,6,11,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"151",15,0,1,3,2,2,3,1,24,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
"152",16,0,5,3,3,1,3,5,0,13,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"153",16,0,2,3,3,2,2,2,4,11,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"154",15,0,4,2,2,1,1,5,2,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"155",16,0,3,4,4,3,3,1,4,11,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"156",17,0,5,4,5,1,2,5,22,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",15,0,4,4,2,1,2,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"158",15,0,4,4,2,1,1,5,0,10,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
